,mszoning,lotarea,housestyle,yearbuilt,centralair,garagecars,garagearea,yrsold,saleprice,no_houses,age_houses
0,RL,8450,2Story,2003,1,2,548,2008,208500,1,5
1,RL,9600,1Story,1976,1,2,460,2007,181500,1,31
2,RL,11250,2Story,2001,1,2,608,2008,223500,1,7
4,RL,14260,2Story,2000,1,3,836,2008,250000,1,8
6,RL,10084,1Story,2004,1,2,636,2007,307000,1,3
7,RL,10382,2Story,1973,1,2,484,2009,200000,1,36
10,RL,11200,1Story,1965,1,1,384,2008,129500,1,43
12,RL,12968,1Story,1962,1,1,352,2008,144000,1,46
14,RL,10920,1Story,1960,1,1,352,2008,157000,1,48
16,RL,11241,1Story,1970,1,2,480,2010,149000,1,40
18,RL,13695,1Story,2004,1,2,576,2008,159000,1,4
22,RL,9742,1Story,2002,1,2,534,2008,230000,1,6
24,RL,8246,1Story,1968,1,1,270,2010,154000,1,42
25,RL,14230,1Story,2007,1,3,890,2009,256300,1,2
26,RL,7200,1Story,1951,1,2,576,2010,134800,1,59
27,RL,11478,1Story,2007,1,3,772,2010,306000,1,3
28,RL,16321,1Story,1957,1,1,319,2006,207500,1,49
29,RM,6324,1Story,1927,0,1,240,2008,68500,1,81
31,RL,8544,1Story,1966,1,1,271,2008,149350,1,42
32,RL,11049,1Story,2007,1,2,484,2008,179900,1,1
33,RL,10552,1Story,1959,1,2,447,2010,165500,1,51
35,RL,13418,2Story,2004,1,3,691,2006,309000,1,2
36,RL,10859,1Story,1994,1,2,672,2009,145000,1,15
37,RL,8532,1Story,1954,1,2,498,2009,153000,1,55
41,RL,16905,1Story,1959,1,1,308,2007,170000,1,48
43,RL,9200,1Story,1975,1,1,308,2008,130250,1,33
44,RL,7945,1Story,1959,1,1,300,2006,141000,1,47
49,RL,7742,1Story,1966,1,1,386,2007,127000,1,41
50,RL,13869,2Story,1997,1,2,388,2007,177000,1,10
53,RL,50271,1Story,1981,1,3,894,2006,385000,1,25
55,RL,10175,1Story,1964,1,2,576,2008,180500,1,44
57,RL,11645,2Story,2004,1,2,565,2006,196500,1,2
59,RL,7200,1Story,1972,1,1,352,2008,124900,1,36
63,RM,10300,2Story,1921,1,2,480,2010,140000,1,89
64,RL,9375,2Story,1997,1,2,645,2009,219500,1,12
65,RL,9591,2Story,2004,1,3,852,2007,317000,1,3
66,RL,19900,1Story,1970,1,2,576,2010,180000,1,40
67,RL,10665,1Story,2003,1,2,558,2007,226000,1,4
68,RM,4608,1Story,1945,1,1,220,2010,80000,1,65
70,RL,13651,1Story,1973,1,2,516,2007,244000,1,34
71,RL,7599,1Story,1982,1,2,360,2007,129500,1,25
72,RL,10141,2Story,1998,1,2,427,2009,185000,1,11
73,RL,10200,1Story,1954,1,2,490,2010,144900,1,56
74,RM,5790,2Story,1915,0,1,379,2010,107400,1,95
76,RL,8475,1Story,1956,1,1,283,2008,135750,1,52
79,RM,10440,2Story,1910,1,2,440,2009,110000,1,99
80,RL,13000,2Story,1968,1,1,509,2009,193500,1,41
82,RL,10206,1Story,2007,1,3,758,2008,245000,1,1
85,RL,16059,2Story,1991,1,2,462,2006,260000,1,15
86,RL,11911,2Story,2005,1,2,400,2009,174000,1,4
89,RL,8070,1Story,1994,1,0,0,2007,123600,1,13
90,RL,7200,1Story,1950,1,2,420,2006,109900,1,56
92,RL,13360,1Story,1921,1,2,432,2009,163500,1,88
94,RL,9337,2Story,1997,1,2,684,2007,204750,1,10
95,RL,9765,2Story,1993,1,2,420,2009,185000,1,16
